"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"856442030670704640","","","2017-04-24 09:37:46 +0000","<a href=""http://job.francesurf.net/"" rel=""nofollow"">la recherche d'emploi par km</a>","Un annuaire pour trouver des sites près de chez soi https://t.co/q00ZHeHiQ4","","","","http://www.francesurf.net"
"855135181396750338","","","2017-04-20 19:04:49 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/w0j1ttoawz https://t.co/sufK1jVNva","","","","http://ift.tt/2oqXG6a,https://twitter.com/taggaddaaaa/status/855135181396750338/photo/1"
"855135176288022531","","","2017-04-20 19:04:48 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/F50367dlxP https://t.co/JTzqAXZj8v","","","","http://ift.tt/2o8Qnnu,https://twitter.com/taggaddaaaa/status/855135176288022531/photo/1"
"855135170055327744","","","2017-04-20 19:04:46 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/XLZhCbR7OP https://t.co/vAmlYYBFcb","","","","http://ift.tt/2oricUc,https://twitter.com/taggaddaaaa/status/855135170055327744/photo/1"
"855135163927461892","","","2017-04-20 19:04:45 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/RApoptUzjS https://t.co/KetljtKiaN","","","","http://ift.tt/2o8QkIk,https://twitter.com/taggaddaaaa/status/855135163927461892/photo/1"
"855118853508083712","","","2017-04-20 17:59:56 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/YYFUNV4Q11 https://t.co/J0N5AJoEEz","","","","http://ift.tt/2oZRiWw,https://twitter.com/taggaddaaaa/status/855118853508083712/photo/1"
"855118847099248640","","","2017-04-20 17:59:55 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/LM4dsf9XeS https://t.co/6wsgDrkprv","","","","http://ift.tt/2pHlAvk,https://twitter.com/taggaddaaaa/status/855118847099248640/photo/1"
"855118841525014528","","","2017-04-20 17:59:53 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell par grégory https://t.co/Z948q4bzEQ https://t.co/Q4BjilRews","","","","http://ift.tt/2oZT7Tk,https://twitter.com/taggaddaaaa/status/855118841525014528/photo/1"
"855118792694910977","","","2017-04-20 17:59:42 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell par grégory https://t.co/4kYhATcuoJ https://t.co/xEfX4hUVMG","","","","http://ift.tt/2pHBki2,https://twitter.com/taggaddaaaa/status/855118792694910977/photo/1"
"851914971944542208","","","2017-04-11 21:48:51 +0000","<a href=""http://job.francesurf.net/"" rel=""nofollow"">la recherche d'emploi par km</a>","Annonce CDI Montpellier: Ingénieur Développeur BI - Genio H/F
https://t.co/YSLvGonw0i 
Compte à suivre : @MontpellierJobs","","","","http://www.francesurf.net/offre-emploi-ingenieur-developpeur-bi-genio_11333819.htm"
"851863294688317440","","","2017-04-11 18:23:30 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell https://t.co/si5rqX96FT https://t.co/AcnufB47WK","","","","http://ift.tt/2o18BSV,https://twitter.com/taggaddaaaa/status/851863294688317440/photo/1"
"851863286849130497","","","2017-04-11 18:23:29 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell https://t.co/bh0pgBN6zD https://t.co/HcSdnAzmeK","","","","http://ift.tt/2p2ui9K,https://twitter.com/taggaddaaaa/status/851863286849130497/photo/1"
"851863280201105408","","","2017-04-11 18:23:27 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell ce jour chez #LOCKARTING https://t.co/yi7yzjdGUg https://t.co/swHhNKuwN4","","","","http://ift.tt/2o19uez,https://twitter.com/taggaddaaaa/status/851863280201105408/photo/1"
"851863272676626438","","","2017-04-11 18:23:25 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Dell ce jour chez #LOCKARTING https://t.co/pN07EcrBYF https://t.co/MRK1xjlbHB","","","","http://ift.tt/2p2hXCu,https://twitter.com/taggaddaaaa/status/851863272676626438/photo/1"
"848485456077611009","","","2017-04-02 10:41:11 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #EVFkartingperols https://t.co/9acZrSSExs https://t.co/MQy1XTNO9S","","","","http://ift.tt/2nKUZNq,https://twitter.com/taggaddaaaa/status/848485456077611009/photo/1"
"848485447827427328","","","2017-04-02 10:41:09 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #EVFkartingperols https://t.co/9fPGDVIkVj https://t.co/aI3nX6OuPJ","","","","http://ift.tt/2nNPuip,https://twitter.com/taggaddaaaa/status/848485447827427328/photo/1"
"843560552760819713","","","2017-03-19 20:31:23 +0000","<a href=""http://job.francesurf.net/"" rel=""nofollow"">la recherche d'emploi par km</a>","Des offres d'emploi à Montpellier : https://t.co/6L1kBoj9te","","","","http://job.francesurf.net/montpellier"
"840927148508622850","","","2017-03-12 14:07:10 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Trump #mur #Mexique https://t.co/xZLKLwXhwm","","","","https://www.instagram.com/p/BRinQNBlbx2/"
"840247735148261376","","","2017-03-10 17:07:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quel beau projet! De l'innovation solidaire comme j aime &lt;3 https://t.co/EkcKhjyb3U","","","","https://twitter.com/Davlardier/status/694970940724240385"
"839400481197805569","","","2017-03-08 09:00:44 +0000","<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Quelques idées à proposer pour réparer cette 'mauvaise gestion de projet'? https://t.co/1Sq0QAyaWN","","","","https://lnkd.in/dJA8x2u"
